ILE 0	0	0	3.336	
VAL 0	0	0	3.567
LEU 0	0	0	3.336
PHE 0	0	0	3.556
CYS 0	0	0.05	3.024
MET 0	0	0	3.338
ALA 0	0	0	2.845
GLY 0	0	0	2.617
THR 0	0	0.05	3.108
SER 0	0	0.05	2.927
TRP 0	0	0	3.754
TYR 0	0	0	2.845
PRO 0	0	0	3.187
HIS 0	0	0.05	3.333
GLU -1	-0.866	0.05	3.279
GLN 0	0	0.05	3.311
ASP -1	-0.866	0.05	3.114
ASN 0	0	0	3.150
LYS 1	0.866	0.05	3.439
ARG 1	0.866	0.05	3.567
